[[0:03 | t=3]] [музыка] F [музыка]
[[0:45 | t=45]] Друзья, всем привет. Э, рад приветствовать вас на нашем онлайн-вебинаре, как планировать маркетинг на двадцать шестой год. Меня зовут Егор Апрелов, и я директор по партнёрским коммуникациям в компании Vitamin Tools. А пока мы все собираемся, давайте немножечко расскажу о том, что вообще вас ждёт и что вообще, кто организатор всего этого прекрасного мероприятия. Сегодня у нас будет пять спикеров. Мы будем рассказывать вам про, а, планирование маркетинга, начиная от клиентского пути и заканчивая вообще, можно ли его планировать. Ответом на
[[1:15 | t=75]] вопрос: можно ли планировать маркетинг в принципе в двадцашем году в условиях неопределённости? А, будет много интересного, поэтому давайте потихонечку все будем собираться. Пока мы ждём ещё пару наших участников, давайте, а, поговорим о организаторах. Этот вебинар - это продукт, а, такой коллаборации двух больших компаний. Первая компания - это Vitamin Tools. Vitamin Tools - это рекламная экосистема, которая помогает маркетологам, фрилансерам и рекламным агентствам делать рекламные кампании
[[1:45 | t=105]] эффективными. Мы предоставляем сервис работы, а с рекламными кабинетами в одно окно и позволяем делать возвраты пополнений, процентов от пополнения рекламного бюджета. Плюс к этому у нас есть достаточно большое количество, а, тех инструментов, которые помогают маркетологам делать рекламные кампании лучше, начиная от конструктора лендингов, заканчивая историей с бидером, с управлением ставками, метками и так далее. А, друзья, я вижу, что-то в чате идёт со связью не так. Давайте поставим плюсики, кто меня хорошо слышит
[[2:15 | t=135]] и видит, потому что эта платформа, к сожалению, бывает, а, даёт нам проблемы. Так что у нас по плюсам? Есть ли вообще плюсы? Плюсы есть. Всё прекрасно, значит, меня видно и слышно. Друзья, у кого лагает, пожалуйста, перезагрузить страницу. В большинстве случаев это помогает для того, чтобы решить в этой платформе эту проблему с зависанием. А, вернёмся к витаминам. А почему именно мы? Почему мы вообще клёвые? Почему мы делаем такие мероприятия? А мы отличаемся от других платформ тем, что если там в у других ребят нужно
[[2:46 | t=166]] потратить все деньги на рекламу и только потом спустя акты пополнения получить возврат, мы в отличие от других компаний сразу а возвращаем вам процент от рекламных бюджетов, когда вы работаете через нас. Не ждём, пока вы эти бюджеты израсходуете. Открываем доступ к инструментам для оптимизации рекламных кампаний. Причём это инструменты как технические, ну, вроде того же конструкторы лендингов, так инструменты образовательные. Может быть, вы знаете, есть такой проект Ягла- это тоже часть нас. Мы делаем курсы для маркетологов и профильных специалистов. А пойдём дальше по поводу нас как компаний. Мы работаем
[[3:18 | t=198]] на рынке уже 6 лет, и за это время более 9.000 клиентов через нас прошло, работают с нами успешно. И более 9 млрд рекламного бюджета было инвестировано, а, в рекламу, в успешную рекламу, опять же, через нашу платформу. А, к вопросу записи вебинара. Самый популярный вопрос. Отвечу сразу. Запись будет. Где её найти? Во-первых, запись будет разослана всем тем, кто зарегистрировался на вебинарах. Во-вторых, мы выкладываем записи вебинаров на наши социальные сети. У нас есть канал на ютубчике, вот так вот он называется. У нас есть а канал ВК видео.
[[3:51 | t=231]] Можно его отсканировать и посмотреть, соответственно, что там дальше происходит. И плюс к этому мы дополнительно выкладываем аа наш контент в нашем Telegram-канале Ягла. Так, друзья, я вижу, что много кто говорит, что всё-таки висит, но повторюсь, мы тут тестируем интернет максимально. Такое бывает, перезагрузка один-два раза всё это решит. Просто достаточно большое количество участников на платформе. Обычно первые минуты такое бывает. К сожалению, это техническая сторона, на
[[4:21 | t=261]] которую мы не можем, а, повлиять. Я надеюсь, что это достаточно быстро сейчас закончится. А помимо нас это мероприятие делают ещё наши партнёры из Калибри. Калибри - это компания, которая делает сервисы для малого и среднего бизнеса. Фактически это удобные, эффективные инструменты для работы с клиентами на всех этапах воронки, начиная от трафика, а проходя через конверсии, прогрев, заканчивая продажами нашим клиентам. Аа в принципе про представление, наверное, я буду потихонечку заканчивать. У нас сейчас
[[4:51 | t=291]] будет подключаться наш первый спикер. А первым мы в нашей вебинарной комнате приветствуем Александра Михайлова, фаундера в агентстве Entermedia. Я надеюсь, сейчас мои коллеги переключат на презенташку Александра. Да, вот Александр Михайлов. Саша, подключайся к нам, пожалуйста. Я надеюсь, что ты уже здесь. >> Да, я надеюсь, что у меня всё хорошо по связи. >> Да, тебя видно, тебя слышно, ты не лагаешь. Меня тоже тут люди понапугали немножко, что всё тупит, поэтому всё хорошо, всё у тебя 25 минут на спич. Плюс я в конце вернусь, а почитаю те
[[5:22 | t=322]] вопросы, которые нам в чат накидают. А, друзья, вкладка вопросы нужна, чтобы вы задавали туда вопросы. из чата будет их сложненько вытаскивать, поэтому вот туда пишите и будем там с вами на них отвечать, когда Александра закончит своё выступление. Всё, я отключаюсь. Твоё время, пожалуйста. >> Саша, у тебя звук, по-моему, пропал. У тебя пропал звук. Я тебя вижу, но у тебя картинка ой, звука нету. >> Так, так, так, так, так.
